id,objectid,shape,cod_pais,pais,cod_depto,departamento,departamen_1,municipio,municipi_1,codigo,orig_fid,point_x,point_y
291,291,Point,GT,Guatemala,GT08,Totonicapán,Totonicapan,Santa Lucía La Reforma,Santa Lucia La Reforma,807,291,-91.269168,15.146075
292,292,Point,GT,Guatemala,GT03,Sacatepéquez,Sacatepequez,Santa Lucía Milpas Altas,Santa Lucia Milpas Altas,309,292,-90.675527,14.568429
293,293,Point,GT,Guatemala,GT07,Sololá,Solola,Santa Lucía Utatlán,Santa Lucia Utatlan,704,293,-91.274931,14.779448
294,294,Point,GT,Guatemala,GT08,Totonicapán,Totonicapan,Santa María Chiquimula,Santa Maria Chiquimula,806,294,-91.317227,15.013504
295,295,Point,GT,Guatemala,GT03,Sacatepéquez,Sacatepequez,Santa María de Jesús,Santa Maria de Jesus,311,295,-90.698936,14.475858
296,296,Point,GT,Guatemala,GT06,Santa Rosa,Santa Rosa,Santa María Ixhuatán,Santa Maria Ixhuatan,610,296,-90.257943,14.14469
297,297,Point,GT,Guatemala,GT07,Sololá,Solola,Santa María Visitación,Santa Maria Visitacion,703,297,-91.331584,14.701814
298,298,Point,GT,Guatemala,GT06,Santa Rosa,Santa Rosa,Santa Rosa de Lima,Santa Rosa de Lima,603,298,-90.337153,14.442907
299,299,Point,GT,Guatemala,GT07,Sololá,Solola,Santiago Atitlán,Santiago Atitlan,719,299,-91.227695,14.603974
300,300,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,Santiago Chimaltenango,Santiago Chimaltenango,1330,300,-91.685204,15.508341
301,301,Point,GT,Guatemala,GT03,Sacatepéquez,Sacatepequez,Santiago Sacatepéquez,Santiago Sacatepequez,306,301,-90.681444,14.641072
302,302,Point,GT,Guatemala,GT10,Suchitepéquez,Suchitepequez,Santo Domingo Suchitepéquez,Santo Domingo Suchitepequez,1006,302,-91.470087,14.21463
303,303,Point,GT,Guatemala,GT03,Sacatepéquez,Sacatepequez,Santo Domingo Xenacoj,Santo Domingo Xenacoj,305,303,-90.701291,14.67925
304,304,Point,GT,Guatemala,GT10,Suchitepéquez,Suchitepequez,Santo Tomás La Unión,Santo Tomas La Union,1017,304,-91.412101,14.623626
305,305,Point,GT,Guatemala,GT17,Petén,Peten,Sayaxché,Sayaxche,1710,305,-90.222115,16.305611
306,306,Point,GT,Guatemala,GT16,Alta Verapaz,Alta Verapaz,Senahú,Senahu,1608,306,-89.839361,15.418848
307,307,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,Sibilia,Sibilia,905,307,-91.641288,14.989288
308,308,Point,GT,Guatemala,GT12,San Marcos,San Marcos,Sibinal,Sibinal,1208,308,-92.05625,15.136585
309,309,Point,GT,Guatemala,GT12,San Marcos,San Marcos,Sipacapa,Sipacapa,1226,309,-91.657584,15.192955
310,310,Point,GT,Guatemala,GT05,Escuintla,Escuintla,Sipacate,Sipacate,514,310,-91.142961,13.959662
311,311,Point,GT,Guatemala,GT05,Escuintla,Escuintla,Siquinalá,Siquinala,504,311,-90.939926,14.350083
312,312,Point,GT,Guatemala,GT07,Sololá,Solola,Sololá,Solola,701,312,-91.180966,14.823235
313,313,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,Soloma,Soloma,1308,313,-91.43172,15.700734
314,314,Point,GT,Guatemala,GT03,Sacatepéquez,Sacatepequez,Sumpango,Sumpango,304,314,-90.745488,14.657896
315,315,Point,GT,Guatemala,GT12,San Marcos,San Marcos,Tacaná,Tacana,1207,315,-92.077692,15.228412
316,316,Point,GT,Guatemala,GT16,Alta Verapaz,Alta Verapaz,Tactic,Tactic,1604,316,-90.3376,15.298081
317,317,Point,GT,Guatemala,GT12,San Marcos,San Marcos,Tajumulco,Tajumulco,1209,317,-91.970645,15.062424
318,318,Point,GT,Guatemala,GT16,Alta Verapaz,Alta Verapaz,Tamahú,Tamahu,1605,318,-90.241692,15.303166
319,319,Point,GT,Guatemala,GT06,Santa Rosa,Santa Rosa,Taxisco,Taxisco,609,319,-90.547369,14.03412
320,320,Point,GT,Guatemala,GT04,Chimaltenango,Chimaltenango,Tecpán Guatemala,Tecpan Guatemala,406,320,-91.04783,14.763255
321,321,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,Tectitán,Tectitan,1321,321,-92.03962,15.364456
322,322,Point,GT,Guatemala,GT19,Zacapa,Zacapa,Teculután,Teculutan,1905,322,-89.84058,15.119718
323,323,Point,GT,Guatemala,GT12,San Marcos,San Marcos,Tejutla,Tejutla,1210,323,-91.830493,15.158537
324,324,Point,GT,Guatemala,GT05,Escuintla,Escuintla,Tiquisate,Tiquisate,506,324,-91.40415,14.185567
325,325,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,Todos Santos Cuchumatán,Todos Santos Cuchumatan,1315,325,-91.585011,15.572543
326,326,Point,GT,Guatemala,GT08,Totonicapán,Totonicapan,Totonicapán,Totonicapan,801,326,-91.311227,14.908131
327,327,Point,GT,Guatemala,GT16,Alta Verapaz,Alta Verapaz,Tucurú,Tucuru,1606,327,-90.080996,15.302686
328,328,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,Unión Cantinil,Union Cantinil,1332,328,-91.738574,15.589054
