id,objectid,shape,cod_pais,pais,cod_depto,departamento,departamen_1,municipio,municipi_1,codigo,orig_fid,point_x,point_y
114,114,Point,GT,Guatemala,GT12,San Marcos,San Marcos,Malacatán,Malacatan,1215,114,-92.099086,14.933749
115,115,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,Malacatancito,Malacatancito,1303,115,-91.483533,15.244415
116,116,Point,GT,Guatemala,GT05,Escuintla,Escuintla,Masagua,Masagua,505,116,-90.809502,14.087567
117,117,Point,GT,Guatemala,GT21,Jalapa,Jalapa,Mataquescuintla,Mataquescuintla,2107,117,-90.203816,14.555047
118,118,Point,GT,Guatemala,GT10,Suchitepéquez,Suchitepequez,Mazatenango,Mazatenango,1001,118,-91.516751,14.543635
119,119,Point,GT,Guatemala,GT17,Petén,Peten,Melchor de Mencos,Melchor de Mencos,1711,119,-89.244934,17.32259
120,120,Point,GT,Guatemala,GT01,Guatemala,Guatemala,Mixco,Mixco,108,120,-90.587279,14.640754
121,121,Point,GT,Guatemala,GT08,Totonicapán,Totonicapan,Momostenango,Momostenango,805,121,-91.41805,15.048196
122,122,Point,GT,Guatemala,GT21,Jalapa,Jalapa,Monjas,Monjas,2106,122,-89.898412,14.511515
123,123,Point,GT,Guatemala,GT18,Izabal,Izabal,Morales,Morales,1804,123,-88.77252,15.44631
124,124,Point,GT,Guatemala,GT02,El Progreso,El Progreso,Morazán,Morazan,202,124,-90.161847,14.966036
125,125,Point,GT,Guatemala,GT22,Jutiapa,Jutiapa,Moyuta,Moyuta,2214,125,-90.125606,13.910458
126,126,Point,GT,Guatemala,GT07,Sololá,Solola,Nahualá,Nahuala,705,126,-91.294023,14.834349
127,127,Point,GT,Guatemala,GT14,Quiché,Quiche,Nebaj,Nebaj,1413,127,-91.173275,15.562386
128,128,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,Nentón,Nenton,1305,128,-91.67776,15.946031
129,129,Point,GT,Guatemala,GT05,Escuintla,Escuintla,Nueva Concepción,Nueva Concepcion,513,129,-91.300692,14.122346
130,130,Point,GT,Guatemala,GT06,Santa Rosa,Santa Rosa,Nueva Santa Rosa,Nueva Santa Rosa,614,130,-90.272378,14.371748
131,131,Point,GT,Guatemala,GT12,San Marcos,San Marcos,Nuevo Progreso,Nuevo Progreso,1212,131,-91.907529,14.793402
132,132,Point,GT,Guatemala,GT11,Retalhuleu,Retalhuleu,Nuevo San Carlos,Nuevo San Carlos,1108,132,-91.69183,14.62611
133,133,Point,GT,Guatemala,GT12,San Marcos,San Marcos,Ocós,Ocos,1218,133,-92.188904,14.54023
134,134,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,Olintepeque,Olintepeque,903,134,-91.535981,14.893643
135,135,Point,GT,Guatemala,GT20,Chiquimula,Chiquimula,Olopa,Olopa,2006,135,-89.316413,14.700069
136,136,Point,GT,Guatemala,GT06,Santa Rosa,Santa Rosa,Oratorio,Oratorio,606,136,-90.112127,14.141625
137,137,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,Ostuncalco,Ostuncalco,909,137,-91.684709,14.878753
138,138,Point,GT,Guatemala,GT14,Quiché,Quiche,Pachalum,Pachalum,1421,138,-90.654456,14.918896
139,139,Point,GT,Guatemala,GT12,San Marcos,San Marcos,Pajapita,Pajapita,1222,139,-92.055605,14.735653
140,140,Point,GT,Guatemala,GT01,Guatemala,Guatemala,Palencia,Palencia,105,140,-90.319499,14.665611
141,141,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,Palestina de Los Altos,Palestina de Los Altos,924,141,-91.675925,14.933202
142,142,Point,GT,Guatemala,GT05,Escuintla,Escuintla,Palín,Palin,511,142,-90.703851,14.395662
143,143,Point,GT,Guatemala,GT07,Sololá,Solola,Panajachel,Panajachel,710,143,-91.146526,14.748332
144,144,Point,GT,Guatemala,GT16,Alta Verapaz,Alta Verapaz,Panzós,Panzos,1607,144,-89.655668,15.3096
145,145,Point,GT,Guatemala,GT04,Chimaltenango,Chimaltenango,Parramos,Parramos,414,145,-90.840652,14.579683
146,146,Point,GT,Guatemala,GT22,Jutiapa,Jutiapa,Pasaco,Pasaco,2215,146,-90.263685,13.967475
147,147,Point,GT,Guatemala,GT03,Sacatepéquez,Sacatepequez,Pastores,Pastores,303,147,-90.771499,14.59818
148,148,Point,GT,Guatemala,GT10,Suchitepéquez,Suchitepequez,Patulul,Patulul,1014,148,-91.176369,14.380341
149,149,Point,GT,Guatemala,GT04,Chimaltenango,Chimaltenango,Patzicía,Patzicia,409,149,-90.941402,14.636833
150,150,Point,GT,Guatemala,GT14,Quiché,Quiche,Patzité,Patzite,1407,150,-91.196794,14.971608
151,151,Point,GT,Guatemala,GT04,Chimaltenango,Chimaltenango,Patzún,Patzun,407,151,-91.034374,14.64706
152,152,Point,GT,Guatemala,GT01,Guatemala,Guatemala,Petapa,Petapa,117,152,-90.555489,14.507222
153,153,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,Petatán,Petatan,1333,153,-91.733889,15.626045
154,154,Point,GT,Guatemala,GT04,Chimaltenango,Chimaltenango,Pochuta,Pochuta,408,154,-91.074903,14.533907
155,155,Point,GT,Guatemala,GT17,Petén,Peten,Poptún,Poptun,1712,155,-89.572372,16.321587
156,156,Point,GT,Guatemala,GT10,Suchitepéquez,Suchitepequez,Pueblo Nuevo,Pueblo Nuevo,1019,156,-91.527885,14.661147
157,157,Point,GT,Guatemala,GT06,Santa Rosa,Santa Rosa,Pueblo Nuevo Viñas,Pueblo Nuevo Vinas,613,157,-90.497659,14.217257
158,158,Point,GT,Guatemala,GT18,Izabal,Izabal,Puerto Barrios,Puerto Barrios,1801,158,-88.490611,15.70427
159,159,Point,GT,Guatemala,GT15,Baja Verapaz,Baja Verapaz,Purulhá,Purulha,1508,159,-90.03847,15.216114
160,160,Point,GT,Guatemala,GT22,Jutiapa,Jutiapa,Quesada,Quesada,2217,160,-90.059508,14.28565
161,161,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,Quetzaltenango,Quetzaltenango,901,161,-91.533353,14.816375
162,162,Point,GT,Guatemala,GT20,Chiquimula,Chiquimula,Quezaltepeque,Quezaltepeque,2009,162,-89.458732,14.617806
163,163,Point,GT,Guatemala,GT15,Baja Verapaz,Baja Verapaz,Rabinal,Rabinal,1503,163,-90.507079,15.113301
164,164,Point,GT,Guatemala,GT16,Alta Verapaz,Alta Verapaz,Raxruhá,Raxruha,1617,164,-90.080942,15.892322
165,165,Point,GT,Guatemala,GT11,Retalhuleu,Retalhuleu,Retalhuleu,Retalhuleu,1101,165,-92.036038,14.481523
166,166,Point,GT,Guatemala,GT12,San Marcos,San Marcos,Río Blanco,Rio Blanco,1228,166,-91.683612,15.037138
167,167,Point,GT,Guatemala,GT10,Suchitepéquez,Suchitepequez,Río Bravo,Rio Bravo,1020,167,-91.333129,14.378591
168,168,Point,GT,Guatemala,GT19,Zacapa,Zacapa,Río Hondo,Rio Hondo,1903,168,-89.600272,15.098471
169,169,Point,GT,Guatemala,GT14,Quiché,Quiche,Sacapulas,Sacapulas,1416,169,-91.112896,15.264118
170,170,Point,GT,Guatemala,GT15,Baja Verapaz,Baja Verapaz,Salamá,Salama,1501,170,-90.226652,15.162371
171,171,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,Salcajá,Salcaja,902,171,-91.462449,14.877669
172,172,Point,GT,Guatemala,GT10,Suchitepéquez,Suchitepequez,Samayac,Samayac,1008,172,-91.469843,14.572566
173,173,Point,GT,Guatemala,GT02,El Progreso,El Progreso,San Agustín Acasaguastlán,San Agustin Acasaguastlan,203,173,-89.986084,15.019346
174,174,Point,GT,Guatemala,GT17,Petén,Peten,San Andrés,San Andres,1704,174,-90.405087,17.489473
175,175,Point,GT,Guatemala,GT04,Chimaltenango,Chimaltenango,San Andrés Itzapa,San Andres Itzapa,413,175,-90.864873,14.608124
176,176,Point,GT,Guatemala,GT14,Quiché,Quiche,San Andrés Sajcabajá,San Andres Sajcabaja,1414,176,-90.948197,15.197355
177,177,Point,GT,Guatemala,GT07,Sololá,Solola,San Andrés Semetabaj,San Andres Semetabaj,709,177,-91.106221,14.740193
178,178,Point,GT,Guatemala,GT11,Retalhuleu,Retalhuleu,San Andrés Villa Seca,San Andres Villa Seca,1106,178,-91.65674,14.318028
179,179,Point,GT,Guatemala,GT08,Totonicapán,Totonicapan,San Andrés Xecul,San Andres Xecul,804,179,-91.49743,14.910649
180,180,Point,GT,Guatemala,GT03,Sacatepéquez,Sacatepequez,San Antonio Aguas Calientes,San Antonio Aguas Calientes,315,180,-90.777264,14.547757
181,181,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,San Antonio Huista,San Antonio Huista,1324,181,-91.773676,15.664631
182,182,Point,GT,Guatemala,GT14,Quiché,Quiche,San Antonio Ilotenango,San Antonio Ilotenango,1408,182,-91.214459,15.049353
183,183,Point,GT,Guatemala,GT02,El Progreso,El Progreso,San Antonio La Paz,San Antonio La Paz,208,183,-90.274897,14.747302
184,184,Point,GT,Guatemala,GT07,Sololá,Solola,San Antonio Palopó,San Antonio Palopo,712,184,-91.108243,14.664772
185,185,Point,GT,Guatemala,GT12,San Marcos,San Marcos,San Antonio Sacatepéquez,San Antonio Sacatepequez,1203,185,-91.712345,14.950866
186,186,Point,GT,Guatemala,GT10,Suchitepéquez,Suchitepequez,San Antonio Suchitepéquez,San Antonio Suchitepequez,1010,186,-91.408986,14.517322
187,187,Point,GT,Guatemala,GT08,Totonicapán,Totonicapan,San Bartolo Aguas Calientes,San Bartolo Aguas Calientes,808,187,-91.460865,15.117052
188,188,Point,GT,Guatemala,GT14,Quiché,Quiche,San Bartolomé Jocotenango,San Bartolome Jocotenango,1417,188,-91.033631,15.184521
189,189,Point,GT,Guatemala,GT03,Sacatepéquez,Sacatepequez,San Bartolomé Milpas Altas,San Bartolome Milpas Altas,307,189,-90.685764,14.601758
190,190,Point,GT,Guatemala,GT17,Petén,Peten,San Benito,San Benito,1703,190,-90.071989,16.930919
191,191,Point,GT,Guatemala,GT10,Suchitepéquez,Suchitepequez,San Bernardino,San Bernardino,1004,191,-91.454227,14.530275
192,192,Point,GT,Guatemala,GT21,Jalapa,Jalapa,San Carlos Alzatate,San Carlos Alzatate,2105,192,-90.07659,14.47851
193,193,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,San Carlos Sija,San Carlos Sija,904,193,-91.565185,15.079503
194,194,Point,GT,Guatemala,GT02,El Progreso,El Progreso,San Cristóbal Acasaguastlán,San Cristobal Acasaguastlan,204,194,-89.893475,15.000201
195,195,Point,GT,Guatemala,GT12,San Marcos,San Marcos,San Cristóbal Cucho,San Cristobal Cucho,1225,195,-91.76888,14.888563
196,196,Point,GT,Guatemala,GT08,Totonicapán,Totonicapan,San Cristóbal Totonicapán,San Cristobal Totonicapan,802,196,-91.445592,14.911647
197,197,Point,GT,Guatemala,GT16,Alta Verapaz,Alta Verapaz,San Cristóbal Verapaz,San Cristobal Verapaz,1603,197,-90.565151,15.397259
198,198,Point,GT,Guatemala,GT19,Zacapa,Zacapa,San Diego,San Diego,1908,198,-89.760072,14.798012
199,199,Point,GT,Guatemala,GT11,Retalhuleu,Retalhuleu,San Felipe,San Felipe,1105,199,-91.630451,14.617231
200,200,Point,GT,Guatemala,GT17,Petén,Peten,San Francisco,San Francisco,1706,200,-89.978111,16.647411
201,201,Point,GT,Guatemala,GT08,Totonicapán,Totonicapan,San Francisco El Alto,San Francisco El Alto,803,201,-91.477391,14.969763
202,202,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,San Francisco La Unión,San Francisco La Union,918,202,-91.546358,14.925764
203,203,Point,GT,Guatemala,GT10,Suchitepéquez,Suchitepequez,San Francisco Zapotitlán,San Francisco Zapotitlan,1003,203,-91.536692,14.597859
204,204,Point,GT,Guatemala,GT10,Suchitepéquez,Suchitepequez,San Gabriel,San Gabriel,1012,204,-91.514403,14.507696
205,205,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,San Gaspar Ixchil,San Gaspar Ixchil,1329,205,-91.706608,15.366589
206,206,Point,GT,Guatemala,GT20,Chiquimula,Chiquimula,San Jacinto,San Jacinto,2010,206,-89.513006,14.678162
207,207,Point,GT,Guatemala,GT15,Baja Verapaz,Baja Verapaz,San Jerónimo,San Jeronimo,1507,207,-90.194249,15.065526
208,208,Point,GT,Guatemala,GT19,Zacapa,Zacapa,San Jorge,San Jorge,1911,208,-89.60365,14.909331
209,209,Point,GT,Guatemala,GT05,Escuintla,Escuintla,San José,San Jose,509,209,-90.882359,13.958672
210,210,Point,GT,Guatemala,GT17,Petén,Peten,San José,San Jose,1702,210,-89.8097,17.404542
211,211,Point,GT,Guatemala,GT22,Jutiapa,Jutiapa,San José Acatempa,San Jose Acatempa,2216,211,-90.145611,14.272053
212,212,Point,GT,Guatemala,GT07,Sololá,Solola,San José Chacayá,San Jose Chacaya,702,212,-91.228389,14.771192
213,213,Point,GT,Guatemala,GT01,Guatemala,Guatemala,San José del Golfo,San Jose del Golfo,104,213,-90.372463,14.793193
214,214,Point,GT,Guatemala,GT10,Suchitepéquez,Suchitepequez,San José El Ídolo,San Jose El Idolo,1005,214,-91.431562,14.381519
215,215,Point,GT,Guatemala,GT20,Chiquimula,Chiquimula,San José La Arada,San Jose La Arada,2002,215,-89.608389,14.716192
216,216,Point,GT,Guatemala,GT10,Suchitepéquez,Suchitepequez,San José La Máquina,San Jose La Maquina,1021,216,-91.583021,14.28367
217,217,Point,GT,Guatemala,GT12,San Marcos,San Marcos,San José Ojetenam,San Jose Ojetenam,1224,217,-91.960272,15.232022
218,218,Point,GT,Guatemala,GT01,Guatemala,Guatemala,San José Pinula,San Jose Pinula,103,218,-90.346363,14.554316
219,219,Point,GT,Guatemala,GT04,Chimaltenango,Chimaltenango,San José Poaquil,San Jose Poaquil,402,219,-90.908312,14.856867
220,220,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,San Juan Atitán,San Juan Atitan,1316,220,-91.626271,15.472592
221,221,Point,GT,Guatemala,GT10,Suchitepéquez,Suchitepequez,San Juan Bautista,San Juan Bautista,1016,221,-91.198911,14.4284
222,222,Point,GT,Guatemala,GT16,Alta Verapaz,Alta Verapaz,San Juan Chamelco,San Juan Chamelco,1610,222,-90.236563,15.389821
223,223,Point,GT,Guatemala,GT14,Quiché,Quiche,San Juan Cotzal,San Juan Cotzal,1411,223,-91.09628,15.41602
224,224,Point,GT,Guatemala,GT20,Chiquimula,Chiquimula,San Juan Ermita,San Juan Ermita,2003,224,-89.426862,14.734684
225,225,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,San Juan Ixcoy,San Juan Ixcoy,1323,225,-91.386308,15.649357
226,226,Point,GT,Guatemala,GT07,Sololá,Solola,San Juan La Laguna,San Juan La Laguna,717,226,-91.3147,14.667563
227,227,Point,GT,Guatemala,GT01,Guatemala,Guatemala,San Juan Sacatepéquez,San Juan Sacatepequez,110,227,-90.650181,14.76953
228,228,Point,GT,Guatemala,GT06,Santa Rosa,Santa Rosa,San Juan Tecuaco,San Juan Tecuaco,607,228,-90.268909,14.071977
229,229,Point,GT,Guatemala,GT10,Suchitepéquez,Suchitepequez,San Lorenzo,San Lorenzo,1007,229,-91.534133,14.209523
230,230,Point,GT,Guatemala,GT12,San Marcos,San Marcos,San Lorenzo,San Lorenzo,1229,230,-91.744081,15.026781
231,231,Point,GT,Guatemala,GT03,Sacatepéquez,Sacatepequez,San Lucas Sacatepéquez,San Lucas Sacatepequez,308,231,-90.648526,14.598055
232,232,Point,GT,Guatemala,GT07,Sololá,Solola,San Lucas Tolimán,San Lucas Toliman,713,232,-91.14661,14.595611
233,233,Point,GT,Guatemala,GT17,Petén,Peten,San Luis,San Luis,1709,233,-89.649499,16.122629
234,234,Point,GT,Guatemala,GT21,Jalapa,Jalapa,San Luis Jilotepeque,San Luis Jilotepeque,2103,234,-89.715099,14.653538
235,235,Point,GT,Guatemala,GT21,Jalapa,Jalapa,San Manuel Chaparrón,San Manuel Chaparron,2104,235,-89.761175,14.52643
236,236,Point,GT,Guatemala,GT12,San Marcos,San Marcos,San Marcos,San Marcos,1201,236,-91.835708,15.016458
237,237,Point,GT,Guatemala,GT07,Sololá,Solola,San Marcos La Laguna,San Marcos La Laguna,716,237,-91.259854,14.735998
238,238,Point,GT,Guatemala,GT04,Chimaltenango,Chimaltenango,San Martín Jilotepeque,San Martin Jilotepeque,403,238,-90.781648,14.84047
239,239,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,San Martín Sacatepéquez,San Martin Sacatepequez,912,239,-91.66439,14.795213
240,240,Point,GT,Guatemala,GT11,Retalhuleu,Retalhuleu,San Martín Zapotitlán,San Martin Zapotitlan,1104,240,-91.593895,14.61372
241,241,Point,GT,Guatemala,GT09,Quetzaltenango,Quetzaltenango,San Mateo,San Mateo,910,241,-91.585514,14.844543
242,242,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,San Mateo Ixtatán,San Mateo Ixtatan,1318,242,-91.439243,15.93302
243,243,Point,GT,Guatemala,GT13,Huehuetenango,Huehuetenango,San Miguel Acatán,San Miguel Acatan,1313,243,-91.6242,15.743213
244,244,Point,GT,Guatemala,GT15,Baja Verapaz,Baja Verapaz,San Miguel Chicaj,San Miguel Chicaj,1502,244,-90.416367,15.141678
245,245,Point,GT,Guatemala,GT03,Sacatepéquez,Sacatepequez,San Miguel Dueñas,San Miguel Duenas,313,245,-90.832393,14.527785
246,246,Point,GT,Guatemala,GT12,San Marcos,San Marcos,San Miguel Ixtahuacán,San Miguel Ixtahuacan,1205,246,-91.734539,15.262933
